name,countries
kaneko,['Japan']
kang,"['Korea, Republic of']"
kapanadze,['Georgia']
kara,['Türkiye']
karapetyan,['Armenia']
karimov,['Kazakhstan']
karjalainen,['Finland']
karlsen,['Norway']
karlsson,['El Salvador']
karunaratne,['Sri Lanka']
kask,['Estonia']
kastelic,['Slovenia']
kastrati,[]
katz,['Israel']
kaur,['New Zealand']
kavaliauskas,['Lithuania']
kavaliauskiene,['Lithuania']
kavcic,['Slovenia']
kawano,['Japan']
kaya,['Türkiye']
kayser,['Luxembourg']
kazlauskas,['Lithuania']
kazlauskiene,['Lithuania']
keller,['Switzerland']
kelly,"['Australia', 'Ireland', 'United States']"
kelmendi,['Albania']
kennedy,['Ireland']
keo,['Cambodia']
khachatryan,['Armenia']
khan,"['Fiji', 'United Kingdom']"
khat,['Cambodia']
khatun,['Bangladesh']
khay,['Cambodia']
khen,['Israel']
khmer,['Cambodia']
khutsishvili,['Georgia']
kieffer,['Luxembourg']
kikuchi,['Japan']
kim,"['Cambodia', 'Kazakhstan', 'Korea, Republic of', 'Viet Nam']"
kimura,['Japan']
king,['United States']
kinnunen,['Finland']
kinoshita,['Japan']
kiss,['Hungary']
kitanovski,['North Macedonia']
klein,"['Israel', 'Luxembourg']"
klemencic,['Slovenia']
kluivert,['Suriname']
knezevic,"['Bosnia and Herzegovina', 'Croatia']"
ko,"['China', 'Korea, Republic of']"
kobayashi,['Japan']
koc,['Türkiye']
koh,"['Korea, Republic of']"
kojima,['Japan']
kola,['Albania']
kolar,['Slovenia']
kolla,['Albania']
kollar,['Slovakia']
koller,['Austria']
kontos,['Greece']
koo,"['Korea, Republic of']"
koppel,['Estonia']
koren,['Slovenia']
korhonen,['Finland']
korosec,['Slovenia']
koroveshi,['Albania']
kos,['Slovenia']
kosir,['Slovenia']
koskinen,['Finland']
kostov,['North Macedonia']
kostovski,['North Macedonia']
kotnik,['Slovenia']
koufos,['Greece']
kovac,"['Croatia', 'Slovakia', 'Slovenia']"
kovacevic,"['Bosnia and Herzegovina', 'Croatia', 'Montenegro']"
kovacic,"['Croatia', 'Slovenia']"
kovacik,['Slovakia']
kovacs,"['Hungary', 'Slovakia']"
koval,['Ukraine']
kovalchuk,['Ukraine']
kovalenko,['Ukraine']
kowalczyk,['Poland']
kowalski,['Poland']
koyama,['Japan']
kozlov,['Russian Federation']
kozłowski,['Poland']
krajnc,['Slovenia']
kralj,['Slovenia']
krasniqi,['Albania']
kravchenko,['Ukraine']
krawczyk,['Poland']
kremer,['Luxembourg']
krier,['Luxembourg']
kristensen,['Denmark']
kristi,['Albania']
kristiansen,['Norway']
kristo,['Albania']
kritikos,['Greece']
kryeziu,[]
kucera,['Czechia']
kucerova,['Czechia']
kuen,"['Korea, Republic of']"
kukk,['Estonia']
kumar,"['Fiji', 'India']"
kumara,['Sri Lanka']
kuqi,['Albania']
kurt,['Türkiye']
kusainov,['Kazakhstan']
kuznetsov,"['Estonia', 'Kazakhstan', 'Russian Federation']"
kvaran,['Iceland']
kvaratskhelia,['Georgia']
kwak,"['Korea, Republic of']"
kwiatkowski,['Poland']
kwok,['China']
kwon,"['Korea, Republic of']"
kılıc,['Türkiye']
la,"['Korea, Republic of']"
laci,['Albania']
lagos,['Chile']
lahtinen,['Finland']
laine,['Finland']
laitinen,['Finland']
lakatos,['Hungary']
lakmal,['Sri Lanka']
lal,['Fiji']
lam,"['China', 'Taiwan, Province of China', 'Viet Nam']"
lama,['Nepal']
lambert,"['Belgium', 'France']"
lang,['Austria']
lao,"['Taiwan, Province of China']"
lara,['Mexico']
larsen,"['Denmark', 'Norway']"
larsson,['El Salvador']
lata,['Fiji']
lau,"['China', 'Korea, Republic of', 'Taiwan, Province of China']"
laurent,"['Belgium', 'France']"
law,['China']
le,"['Taiwan, Province of China', 'Viet Nam']"
lebedev,['Russian Federation']
lechner,['Austria']
leclercq,['Belgium']
ledesma,['Argentina']
lee,"['Australia', 'Canada', 'China', 'Korea, Republic of', 'Taiwan, Province of China', 'United States']"
lefebvre,['France']
lefevre,['France']
lehner,['Austria']
lehtinen,['Finland']
lehtonen,['Finland']
lei,"['Taiwan, Province of China']"
leitner,['Austria']
leiva,['Chile']
lejeune,['Belgium']
leka,['Albania']
leon,['Mexico']
leone,['Italy']
leroy,['France']
levi,['Israel']
levin,['Israel']
levy,['Israel']
lewandowski,['Poland']
lewis,"['United Kingdom', 'United States']"
li,"['China', 'Kazakhstan', 'Taiwan, Province of China']"
lie,['Suriname']
liem,"['Taiwan, Province of China']"
lim,"['Cambodia', 'Korea, Republic of', 'Taiwan, Province of China']"
lima,['Brazil']
lin,"['China', 'Suriname', 'Taiwan, Province of China']"
lindberg,['El Salvador']
liu,"['China', 'Korea, Republic of', 'Taiwan, Province of China']"
liyanage,['Sri Lanka']
lombardi,['Italy']
lombardo,['Italy']
lomidze,['Georgia']
long,"['Cambodia', 'United States']"
longo,['Italy']
lopes,['Portugal']
lopez,"['Argentina', 'Chile', 'Colombia', 'Costa Rica', 'Cuba', 'Dominican Republic', 'El Salvador', 'Guatemala', 'Mexico', 'Paraguay', 'Peru', 'Philippines', 'Spain', 'United States']"
lorenzo,['Argentina']
lou,"['Taiwan, Province of China']"
lourenco,['Portugal']
lovric,['Croatia']
low,"['Taiwan, Province of China']"
luka,['Albania']
lukac,['Slovakia']
lukic,['Bosnia and Herzegovina']
lum,"['Taiwan, Province of China']"
luna,"['Argentina', 'Mexico']"
lund,['Norway']
lungu,"['Moldova, Republic of']"
luong,['Viet Nam']
luu,['Viet Nam']
ly,['Viet Nam']
lynch,['Ireland']
lysenko,['Ukraine']
ma,"['Cambodia', 'China']"
mac,['Viet Nam']
macdonald,['Canada']
machado,['Portugal']
madrigal,['Costa Rica']
madsen,['Denmark']
madusanka,['Sri Lanka']
maeda,['Japan']
maes,['Belgium']
magar,['Nepal']
magi,['Estonia']
magnusson,['El Salvador']
maharaj,['Fiji']
maharjan,['Nepal']
mai,['Viet Nam']
maier,['Austria']
maisuradze,['Georgia']
majerus,['Luxembourg']
makela,['Finland']
makinen,['Finland']
maldonado,"['Argentina', 'Chile', 'Mexico']"
malka,['Israel']
mamani,['Peru']
mamedov,['Georgia']
mamedovi,['Georgia']
mammadov,['Azerbaijan']
manalo,['Philippines']
mancini,['Italy']
manukyan,['Armenia']
mao,['Cambodia']
marat,['Kazakhstan']
marchenko,['Ukraine']
marchetti,['Italy']
margaryan,['Armenia']
mariani,['Italy']
maric,"['Bosnia and Herzegovina', 'Croatia']"
marin,['Spain']
marini,['Italy']
marino,"['Argentina', 'Italy']"
markoski,['North Macedonia']
markov,['North Macedonia']
markovic,"['Bosnia and Herzegovina', 'Croatia', 'Montenegro', 'Serbia']"
markovski,['North Macedonia']
marku,['Albania']
marques,['Portugal']
marquez,['Mexico']
marroquin,['Guatemala']
martin,"['Argentina', 'Australia', 'Belgium', 'Canada', 'France', 'Spain', 'United States']"
martinelli,['Italy']
martinez,"['Argentina', 'Chile', 'Colombia', 'Cuba', 'Dominican Republic', 'El Salvador', 'France', 'Guatemala', 'Mexico', 'Paraguay', 'Peru', 'Philippines', 'Spain', 'United States']"
martini,['Italy']
martino,['Italy']
martins,"['Brazil', 'Portugal']"
martirosyan,['Armenia']
maruyama,['Japan']
mason,['United Kingdom']
masuda,['Japan']
matei,['Romania']
matic,['Croatia']
matos,['Portugal']
matsuda,['Japan']
matsui,['Japan']
matsumoto,['Japan']
mattila,['Finland']
mayer,['Austria']
mayr,['Austria']
mazur,['Poland']
mazza,['Italy']
mccarthy,['Ireland']
